X,Y,id,left_fm,right_fm,min_offset,strat_offset
595135.7782426646,5641728.180237552,NUBLET THRUST,Dv_MH,CmOd_SP,3557.5,011
595075.8560182027,5641746.617794419,NUBLET THRUST,Dv_A,CmOd_SP,3515.5,010
595037.7334106272,5641751.354508642,NUBLET THRUST,Dv_A,CmOd_SP,3515.5,010
594991.6394125774,5641753.659230216,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594940.4177047347,5641760.752885944,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594883.5684463151,5641784.568029864,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594832.8650030263,5641827.589055591,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594759.114619439,5641868.30550801,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594685.3642351904,5641888.279656957,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594632.3561229908,5641891.352513155,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594590.1032839163,5641879.060704747,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594567.0563056567,5641852.1725819595,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594567.8245640695,5641809.919768727,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594592.4080245949,5641752.302260995,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594629.2832189918,5641671.637759535,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594678.296523951,5641548.39873112,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594739.1180248294,5641370.944294976,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594794.8239241999,5641199.153829155,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594859.1072999616,5641039.2258740105,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594926.6566149499,5640915.3214328475,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
594953.7134516872,5640882.157866547,NUBLET THRUST,Od_Sk,CmOd_SP,2997.5,007
598465.2013768505,5635527.448418071,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
598540.1928990171,5635510.6002091905,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
598699.5620239304,5635502.959283138,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
598875.3047396011,5635506.234034064,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599007.384709648,5635495.318327921,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599128.5488927054,5635457.113358134,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599254.6778517477,5635392.740252348,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599357.4279149007,5635337.116468702,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599426.2169636567,5635315.538977291,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599496.081159299,5635309.463845034,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599655.5538666359,5635298.832319954,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599845.4023570525,5635286.682057064,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
599956.2738390102,5635276.050576199,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600035.2507829217,5635253.268764003,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600123.3404665921,5635212.261519659,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600223.5804674728,5635156.066352623,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600335.9708060531,5635087.720855404,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600458.9925960952,5635001.149961475,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600571.3828773256,5634908.503925039,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600673.1416307215,5634821.933005887,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600753.6374017103,5634744.474825361,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600815.9077238317,5634667.016642027,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600885.7719026731,5634562.220328734,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
600952.5986000642,5634457.423971745,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601004.2374024973,5634373.890629869,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601045.244652481,5634281.244592857,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601081.6955475658,5634177.966978866,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601116.6276357123,5634070.133051494,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601150.0409871652,5633919.773108162,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601184.9731583877,5633647.910145674,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601216.8677004005,5633310.739246758,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601245.7246356749,5633041.913802914,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601293.8188672172,5632812.455685297,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601352.4331084308,5632637.321177296,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601402.6978346409,5632556.688136209,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601427.646018134,5632530.619347984,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601429.6453720945,5632528.543048859,SIMPSON PASS THRUST,CmOd_SP,Cm_G,8534.0,017
601454.9619955805,5632502.252738198,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
601513.6991716536,5632451.9699016595,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
601618.4173917058,5632392.280508181,SIMPSON PASS THRUST,CmOd_SP,Cm_Ca,8217.0,015
