x,y,formation,app_th,thickness,norm_th
596895.8244,5639601.48845,Cm_G,333.03279512650437,234,0.6273458445040214
596979.8405999995,5639651.5393,Cm_G,358.53607295869654,232,0.6219839142091153
597060.8740000007,5639695.765250001,Cm_G,503.54966253542506,326,0.8739946380697051
597144.4593499993,5639733.897000001,Cm_G,510.15880808049036,330,0.8847184986595175
597225.4843499996,5639760.0068,Cm_G,441.38714412822856,286,0.7667560321715817
597308.8784500003,5639756.28685,Cm_G,438.6881439120992,284,0.7613941018766756
597397.2237,5639729.436300001,Cm_G,485.0659432545929,314,0.8418230563002681
597467.7960500002,5639708.262999998,Cm_G,473.2993948930185,306,0.8203753351206434
597554.3792999999,5639685.043399999,Cm_G,521.3140306054452,290,0.7774798927613941
597641.5705499997,5639663.58265,Cm_G,574.8278181386676,320,0.8579088471849866
597728.3331999992,5639634.90535,Cm_G,661.1737711917358,368,0.9865951742627346
597817.20545,5639596.5604,Cm_G,684.1163436067143,381,1.0214477211796247
597887.7773500001,5639537.9479,Cm_G,593.46244342682,331,0.8873994638069705
597945.4578000002,5639461.771750001,Cm_G,584.6697500036228,377,1.0107238605898123
597993.1352000008,5639376.751599999,Cm_G,591.7205662712024,367,0.9839142091152815
598044.9935000002,5639309.186200001,Cm_G,635.4903625788583,394,1.0563002680965148
598115.0229499997,5639275.472499997,Cm_G,777.0292346360457,482,1.292225201072386
598207.8770000003,5639268.46705,Cm_G,767.4417104085335,476,1.2761394101876675
598286.159049999,5639231.44685,Cm_G,782.1481528536299,485,1.3002680965147453
598353.9100500004,5639180.00955,Cm_G,674.5186799542919,418,1.1206434316353888
598445.61085,5639177.2971,Cm_G,469.4633599311495,291,0.7801608579088471
598618.9163500003,5639200.66145,Cm_G,858.5156486330038,548,1.4691689008042896
598684.6147999992,5639183.86965,Cm_G,498.48701206234506,318,0.8525469168900804
598762.5066999996,5639151.9968,Cm_G,506.35352471482514,323,0.8659517426273459
598831.6115500004,5639110.6098500015,Cm_G,522.157734552844,333,0.8927613941018767
598895.5689000004,5639090.651449999,Cm_G,941.259200913622,601,1.611260053619303
598958.4459499993,5639046.376,Cm_G,623.3605281422584,398,1.0670241286863271
587888.1881499994,5643599.8607,Cm_G,224.47455853484,96,0.257372654155496
587959.2510500001,5643532.6416500015,Cm_G,213.93135394628638,92,0.24664879356568364
588030.2951500004,5643465.731900001,Cm_G,208.25211102049252,77,0.2064343163538874
588099.4830000002,5643404.137899999,Cm_G,209.35254044782383,78,0.20911528150134048
588169.4302499996,5643342.7969499985,Cm_G,201.69091401148938,75,0.20107238605898123
588246.2119,5643283.73405,Cm_G,199.83189123061848,74,0.19839142091152814
588322.8325000001,5643225.43825,Cm_G,192.72547494153545,71,0.1903485254691689
588398.0033000007,5643174.04595,Cm_G,190.8930123276183,71,0.1903485254691689
