X,Y,Z,code,type
420081.5391069562,7637681.555906916,275.90192,FA_10,anticline exposed
418977.541171663,7639831.446344043,265.2266,FA_10,anticline exposed
418454.5949666267,7640761.128881435,272.02347,FA_10,anticline exposed
417931.6484817535,7641632.706141106,272.02347,FA_10,anticline exposed
417098.8081342285,7643143.439936079,256.32455,FA_10,anticline exposed
416692.07214775984,7644247.437808499,256.32455,FA_10,anticline exposed
416176.6295187777,7645985.558513994,256.09274,FA_10,anticline exposed
415568.7057481075,7647133.326857919,257.05286,FA_10,anticline exposed
308992.52006319154,7566169.208229719,329.,FA_11,syncline exposed
307311.0250060773,7575758.183568511,320.,FA_11,syncline exposed
307161.84453148674,7581181.2432812285,329.,FA_11,syncline exposed
307235.6910254195,7583694.608165109,298.,FA_11,syncline exposed
307390.32241986226,7584650.589074638,384.,FA_11,syncline exposed
307669.4787642885,7586504.319671392,383.,FA_11,syncline exposed
309376.29874924105,7591989.915444875,324.,FA_11,syncline exposed
310526.05338424013,7594621.801482653,287.,FA_11,syncline exposed
430140.1289155112,7630808.120339866,302.87814,FA_15,anticline exposed
430490.5600235646,7628370.750019463,299.7972,FA_15,anticline exposed
431040.40593447885,7626720.49998466,291.04974,FA_15,anticline exposed
431588.37682331,7625343.190708676,280.25586,FA_15,anticline exposed
432285.6687178452,7624035.768157549,288.8828,FA_15,anticline exposed
434391.74520386633,7620360.246067265,266.96976,FA_15,anticline exposed
436534.79202053446,7617781.930369035,266.93686,FA_15,anticline exposed
437731.0800606636,7616670.550129535,264.14328,FA_15,anticline exposed
376782.7240917874,7559591.723655662,368.27713,FA_25,anticline exposed
377816.45694746193,7557461.607045172,344.35214,FA_25,anticline exposed
378912.8406025685,7555597.755074056,351.32193,FA_25,anticline exposed
380736.27488862415,7552706.112526447,372.64453,FA_25,anticline exposed
381831.8674223116,7549923.884390475,394.65338,FA_25,anticline exposed
382149.4395339475,7548790.964373842,431.62082,FA_25,anticline exposed
382339.01009523415,7548403.58151271,431.62082,FA_25,anticline exposed
382586.2758481314,7548040.925033921,402.18857,FA_25,anticline exposed
383492.9166947675,7547224.948173437,431.76462,FA_25,anticline exposed
384399.55774596403,7546615.026060916,417.6626,FA_25,anticline exposed
385602.9175191062,7545889.713054676,436.3232,FA_25,anticline exposed
388899.7938586339,7543676.684834337,438.207,FA_25,anticline exposed
390435.42455168534,7542479.95941405,412.09653,FA_25,anticline exposed
391146.4023515396,7541821.100885316,427.02756,FA_25,anticline exposed
306595.9056955461,7599880.371461903,271.,FA_26,syncline exposed
308018.5094523999,7605564.876714668,268.,FA_26,syncline exposed
308278.5705998292,7608384.498026155,250.,FA_26,syncline exposed
307972.5472747344,7610681.136613233,291.,FA_26,syncline exposed
306336.0962725363,7614464.115797499,258.,FA_26,syncline exposed
305907.2175874278,7614980.748351434,258.,FA_26,syncline exposed
408083.6293176254,7626336.916375437,249.26183,FA_27,anticline exposed
404627.8061353713,7628889.866733127,249.16911,FA_27,anticline exposed
398966.78798990604,7632668.98882071,240.97047,FA_27,anticline exposed
395194.3434509132,7634929.773688214,238.26205,FA_27,anticline exposed
392641.3930933783,7638074.2612049775,232.20598,FA_27,anticline exposed
392337.76106629707,7638476.402859382,238.83864,FA_27,anticline exposed
390337.5110866325,7641374.416460051,236.08492,FA_27,anticline exposed
388313.830945353,7644923.640139244,233.06456,FA_27,anticline exposed
386694.8869393086,7647850.192934006,236.92067,FA_27,anticline exposed
387530.9474788569,7657853.673681283,238.05348,FA_28,syncline exposed
391924.08273975085,7650272.83287725,247.90292,FA_28,syncline exposed
394682.74422369525,7647023.742660829,234.21848,FA_28,syncline exposed
398464.7668765439,7643249.893574375,233.90233,FA_28,syncline exposed
400072.59387752507,7642140.500033829,238.0822,FA_28,syncline exposed
401725.4524078872,7641147.587429531,238.71698,FA_28,syncline exposed
403558.6867852388,7639988.542695465,236.2947,FA_28,syncline exposed
407736.32194626983,7637736.65742839,244.31229,FA_28,syncline exposed
409491.2392787477,7636587.419487695,241.15515,FA_28,syncline exposed
413485.6177652776,7632945.577624994,239.87256,FA_28,syncline exposed
414381.08238822315,7631930.071521512,243.16083,FA_28,syncline exposed
436400.0887437165,7590347.9612977225,278.,FA_29,syncline concealed
437472.9503532229,7589887.134761561,278.,FA_29,syncline concealed
438498.2892990997,7589419.107904614,284.,FA_29,syncline concealed
439844.76689760387,7588779.711137604,277.,FA_29,syncline concealed
441884.6800178224,7588069.123015481,263.,FA_29,syncline concealed
443929.7792376559,7587328.144710625,244.,FA_29,syncline concealed
448108.89539060555,7585786.910674043,244.98964,FA_29,syncline concealed
451132.2525546411,7584660.614132051,245.67188,FA_29,syncline concealed
452991.88602521643,7583951.074190608,246.86847,FA_29,syncline concealed
