X,Y,Z,azimuth,dip,polarity,formation
386726.4989,7511782.7131,431.76993,271.0,55.0,1,P__TA_sk
391833.4927000003,7511862.1619,451.90903,468.0,60.0,1,P__THb_shh
359555.18960000016,7513103.8818,493.86548,379.0,10.0,1,P__TAo_ssqv
376162.54810000025,7484607.0665,445.12228,530.0,10.0,1,P__DIt_ss
384389.34200000024,7505847.3723,420.99942000000004,368.0,17.0,1,P__TA_sk
390597.1610000003,7501319.9702,443.24683,330.0,48.0,1,P__THc_stq
392786.5861,7507282.9237,467.09848,520.0,12.0,1,P__THc_stq
380675.25719999993,7463242.5201,405.0,250.0,10.0,1,P___bo_sepg
389406.36450000014,7476543.5654,485.0,440.0,30.0,1,P__DIt_ss
352034.30750000005,7490533.7036,485.0,430.0,5.0,1,P__DIw_ss
356411.63350000046,7488850.3175,483.0,430.0,10.0,1,P__TA_sk
371225.63350000046,7506435.778,437.95862,360.0,48.0,1,P__TAo_ssqv
354022.5350000001,7498693.578,476.0,535.0,48.0,1,P__TAo_ssqv
348715.9356000005,7497690.8069,454.01662999999996,340.0,4.0,1,P__DIw_ss
350879.97329999966,7508142.1911,488.0,360.0,5.0,1,P__DIw_ss
371758.3843,7465224.1636,448.8973,195.0,10.0,1,P__SUm_ss
361548.6233000001,7478800.5264,490.1008,185.0,10.0,1,P__SUm_ss
362169.0948999999,7486859.5355,486.0,460.0,8.0,1,P__SUm_ss
418536.8361,7539363.2323,375.039,501.0,75.0,1,P__THb_shh
422315.97329999966,7536689.4143,367.039,500.0,30.0,1,P__THb_shh
421163.89379999967,7531769.0611,453.3141,295.0,75.0,1,P__THc_stq
415429.8627000004,7533601.0945,382.13327000000004,317.0,70.0,1,P__THc_stq
410481.2470000005,7532557.1913,373.41232,490.0,55.0,1,CP__pa_sepg
415353.4644,7530734.574,384.58463,482.0,75.0,1,P__THc_stq
416107.20139999967,7528416.4532,421.00915999999995,500.0,40.0,1,CP__pa_sepg
420918.00719999993,7528215.1765,406.9718,327.0,85.0,1,P__THc_stq
419275.3141000001,7538142.4664,375.97182999999995,496.0,60.0,1,P__THb_shh
431531.5318,7536018.6652,321.6263,511.0,70.0,1,P__THc_stq
427374.2785999999,7534175.3577,397.80312999999995,492.0,65.0,1,P__THc_stq
423858.0272000004,7535575.5013,373.90353,488.0,70.0,1,P__THb_shh
424043.16019999975,7533142.4198,361.20096,478.0,80.0,1,P__THb_shh
429383.75009999983,7530530.0770000005,341.5968,517.0,80.0,1,P__THb_shh
426711.82610000024,7525887.1946,371.0083,327.0,60.0,1,P__THc_stq
431809.5053000003,7529884.9264,328.3374,490.0,85.0,1,P__THc_stq
432475.9568999997,7528631.472999999,406.6369,483.0,75.0,1,P__THc_stq
441822.36930000037,7529006.2146,322.28848,305.0,70.0,1,P__THc_stq
436923.57359999977,7517142.4735,343.87473,428.0,30.0,1,P__THc_stq
436994.5354000004,7531685.1003,329.7047,474.0,65.0,1,P__THc_stq
399089.3523000004,7519638.7251,412.20105,290.0,60.0,1,P__THc_stq
404254.9398999997,7518807.6376,419.2562,306.0,60.0,1,P__md_PTRB
411487.79700000025,7519448.8737,419.90897,303.0,45.0,1,CP__pa_sepg
414199.5888999999,7513469.1938,401.9535,295.0,45.0,1,P__THc_stq
421243.15799999976,7518313.4467,451.81097,353.0,15.0,1,P__THc_stq
413630.20459999976,7522365.4423,404.77197,325.0,50.0,1,P__THc_stq
413926.0648999997,7523204.0343,404.77197,283.0,30.0,1,P__THc_stq
417327.91899999976,7522696.2559,437.35474000000005,323.0,35.0,1,CP__pa_sepg
418330.1354,7520019.8794,448.70834,504.0,40.0,1,P__THc_stq
421272.50540000014,7520775.8922,419.95782,322.0,30.0,1,P__THc_stq
423362.1327,7523998.1479,442.1549,492.0,40.0,1,P__THc_stq
424345.0047000004,7520850.9971,410.1041,369.0,253.0,1,P__THc_stq
425384.48450000025,7515784.0422,373.97757,323.0,45.0,1,P__THc_stq
