X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
312941.40020964894,7591995.544174487,Fault_141,1358,17,180.0
312941.40020964894,7591995.544174487,Fault_141,-46,0,0.0
312941.40020964894,7591995.544174487,Fault_141,-9555,84,0.0
312941.40020964894,7591995.544174487,Fault_141,-22787,122,0.0
308069.8056442289,7597506.0522313705,Fault_141,11247,78,0.0
308069.8056442289,7597506.0522313705,Fault_141,7974,49,0.0
308069.8056442289,7597506.0522313705,Fault_141,43,0,0.0
308069.8056442289,7597506.0522313705,Fault_141,-6604,77,180.0
306850.1522472787,7599480.590441956,Fault_141,11003,1305,0.0
306850.1522472787,7599480.590441956,Fault_141,9603,1136,0.0
306850.1522472787,7599480.590441956,Fault_141,95,11,0.0
306850.1522472787,7599480.590441956,Fault_141,-13182,1493,180.0
304896.85998964304,7603262.640356866,Fault_141,17709,1105,180.0
304896.85998964304,7603262.640356866,Fault_141,14459,900,180.0
304896.85998964304,7603262.640356866,Fault_141,6613,402,180.0
304896.85998964304,7603262.640356866,Fault_141,-33,1,0.0
374560.13738861907,7566259.628920318,Fault_143,683,105,0.0
374560.13738861907,7566259.628920318,Fault_143,-13828,371,180.0
374560.13738861907,7566259.628920318,Fault_143,-26348,925,180.0
374560.13738861907,7566259.628920318,Fault_143,-36130,1052,180.0
375518.6591075914,7563332.9047466,Fault_143,-4100,214,180.0
375518.6591075914,7563332.9047466,Fault_143,-15272,84,180.0
375518.6591075914,7563332.9047466,Fault_143,-26062,77,180.0
376766.8636879562,7558002.121261032,Fault_143,9211,426,0.0
376766.8636879562,7558002.121261032,Fault_143,-5315,515,180.0
376766.8636879562,7558002.121261032,Fault_143,-17830,1413,180.0
376766.8636879562,7558002.121261032,Fault_143,-27602,1930,180.0
381264.30981262715,7547737.85076017,Fault_143,12571,3260,0.0
381264.30981262715,7547737.85076017,Fault_143,1349,295,0.0
381264.30981262715,7547737.85076017,Fault_143,-9448,2117,180.0
382500.1267166312,7542493.336535961,Fault_143,25729,3855,0.0
382500.1267166312,7542493.336535961,Fault_143,11229,1705,0.0
382500.1267166312,7542493.336535961,Fault_143,-1300,314,180.0
382500.1267166312,7542493.336535961,Fault_143,-11073,1543,180.0
384777.5555606978,7535926.925294083,Fault_143,24856,12167,0.0
384777.5555606978,7535926.925294083,Fault_143,13671,7323,0.0
384777.5555606978,7535926.925294083,Fault_143,2881,1702,0.0
386057.3103821914,7531583.40307469,Fault_143,37204,7329,0.0
386057.3103821914,7531583.40307469,Fault_143,22704,4474,0.0
386057.3103821914,7531583.40307469,Fault_143,10187,2026,0.0
386057.3103821914,7531583.40307469,Fault_143,402,77,0.0
393767.1810388579,7519545.536022844,Fault_143,-9677,5982,0.0
405683.6341349051,7503724.359383893,Fault_143,10,4,0.0
405683.6341349051,7503724.359383893,Fault_143,-6366,3900,180.0
406282.7339659499,7502183.169255598,Fault_143,10,1,0.0
406282.7339659499,7502183.169255598,Fault_143,-5347,3452,180.0
408980.23780578567,7498370.310470286,Fault_143,6287,5943,0.0
408980.23780578567,7498370.310470286,Fault_143,-81,99,180.0
409269.9239680405,7497737.167201987,Fault_143,5362,5521,0.0
