X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
546318.865985385,7512018.13350736,Wittenoom_Formation,1930.8713300874024,352,0.15213411568425572,0.9883598589810138,541377.06669048,7512778.804085781,551260.6652802901,7511257.462928939,10.515019128214888,full
545498.939821435,7510616.14618635,Wittenoom_Formation,1846.3114921626966,320,0.7326380062588067,0.6806185067900525,542095.8472874848,7514279.336217644,548902.0323553853,7506952.956155056,9.995222702587355,full
544388.08989391,7508248.899835628,Wittenoom_Formation,1513.1731392398663,139,0.3364231353149178,0.9417109291204392,539679.5352483077,7509931.015512203,549096.6445395122,7506566.784159054,5.301060080063436,full
541663.86921207,7504453.40099267,Wittenoom_Formation,944.402345302148,243,0.8274872410183591,0.5614845197793293,538856.4466131733,7508590.837197762,544471.2918109667,7500315.964787578,14.943416505633067,full
537696.580005585,7503038.644540605,Wittenoom_Formation,627.8002973357987,134,0.9484970027640712,-0.3167861040948193,539280.5105260591,7507781.129554425,536112.6494851109,7498296.159526785,12.333800234226516,full
536651.8741216101,7501808.884078665,Wittenoom_Formation,1532.2180425701788,192,0.2545439650450517,0.967061202747346,531816.5681078733,7503081.60390389,541487.1801353468,7500536.16425344,7.218834366195836,full
534231.799758695,7501134.369183125,Wittenoom_Formation,710.2716834679077,127,0.990851780551845,0.1349546182138213,533557.0266676259,7506088.628085884,534906.572849764,7496180.110280366,10.373653650773448,full
530402.2047668749,7521236.235398585,Marra_Mamba_Iron_Formation,886.750878271099,79,-0.9993221087015912,0.03681471255089396,530218.1312041205,7516239.624855077,530586.2783296293,7526232.845942093,5.172119859756009,full
548831.18947511,7521110.694545185,Marra_Mamba_Iron_Formation,292.01035537668736,120,-0.8403085265706786,0.5421084579423338,546120.6471853984,7516909.151912332,551541.7317648217,7525312.237178039,24.271463903952437,full
550833.86942663,7520332.92575877,Marra_Mamba_Iron_Formation,950.3371211642584,438,-0.8887513230015175,0.458389665964507,548541.9210968075,7515889.169143762,553125.8177564525,7524776.682373777,27.473430495785315,full
552243.0505179199,7519131.661241812,Marra_Mamba_Iron_Formation,1479.3361059737488,670,-0.7203502952875184,0.6936104469218909,548774.9982833104,7515529.909765374,555711.1027525294,7522733.4127182495,26.95828672373547,full
553506.37492226,7516896.125452775,Marra_Mamba_Iron_Formation,1382.104366534057,494,0.06237495532803825,0.9980527866540052,548516.1109889899,7517208.000229415,558496.63885553,7516584.250676135,20.968589450459348,full
552665.118585225,7515631.876654585,Marra_Mamba_Iron_Formation,726.3854809053361,222,0.3876859566425777,0.921791516028505,548056.1610050824,7517570.306437798,557274.0761653675,7513693.446871372,17.868633137896126,full
551085.6336944799,7514482.115038515,Marra_Mamba_Iron_Formation,507.07136850303993,107,0.9770404470207166,0.21305390136197533,550020.36418767,7519367.317273619,552150.9032012898,7509596.9128034115,12.290377345337689,full
549041.035260135,7513812.380497025,Marra_Mamba_Iron_Formation,528.7266247390027,40,0.9468708667145932,0.32161399498024784,547432.9652852337,7518546.734830598,550649.1052350362,7509078.026163452,4.344327411120119,full
547488.09007165,7512891.640436515,Marra_Mamba_Iron_Formation,477.0078746268897,52,0.4791932559018533,0.8777094185994481,543099.5429786528,7515287.606716025,551876.6371646472,7510495.674157006,6.333524008426934,full
546915.9039405249,7511745.000902525,Marra_Mamba_Iron_Formation,660.0906593747368,98,0.4326124381386269,0.9015799899996412,542408.0039905267,7513908.063093218,551423.8038905232,7509581.938711832,8.55230263643108,full
546635.290916825,7510767.13469111,Marra_Mamba_Iron_Formation,803.9922991995455,103,0.5933461224343117,0.8049474386518456,542610.5537235658,7513733.865303282,550660.0281100841,7507800.404078938,7.42792975687,full
545312.050876535,7509345.395137595,Marra_Mamba_Iron_Formation,756.3626141666375,87,0.3900009943669481,0.9208144353738116,540707.978699666,7511295.40010943,549916.123053404,7507395.39016576,6.649278547755671,full
544579.6767696401,7507799.651197765,Marra_Mamba_Iron_Formation,333.5618381892719,24,0.4374922056992444,0.8992222027688207,540083.5657557959,7509987.112226261,549075.7877834842,7505612.190169269,4.225575385250039,full
543576.64946143,7506178.900727445,Marra_Mamba_Iron_Formation,381.110819139285,48,0.38971506136128703,0.9209354868546268,538971.9720271569,7508127.476034252,548181.3268957032,7504230.325420639,7.242395365120856,full
541741.404247645,7504078.900228442,Marra_Mamba_Iron_Formation,354.08747710710816,99,0.8601674596883767,0.5100117070158732,539191.3457125657,7508379.737526883,544291.4627827244,7499778.06293,16.23771126176848,full
539709.6700366649,7502769.40030633,Marra_Mamba_Iron_Formation,464.72265446924087,132,0.8735019342670427,0.4868206762574234,537275.5666553779,7507136.909977665,542143.773417952,7498401.890634995,16.57804186670316,full
