X,Y,Z,angle,lsx,lsy,formation,group
547566.583725645,7492372.939814605,597.,98.12512227385464,-0.9899617820960115,0.14133531048286832,Brockman_Iron_Formation,Hamersley_Group
549947.99431685,7492610.959853396,594.,63.44599056719605,-0.8945133590656903,-0.4470412178457547,Brockman_Iron_Formation,Hamersley_Group
552344.295352425,7492789.7400467545,642.,105.41345324758076,-0.9640330241614715,0.265782483106182,Brockman_Iron_Formation,Hamersley_Group
556318.24076914,7493027.764724266,611.,75.96959311210212,-0.9701672016188414,-0.24243679774957064,Brockman_Iron_Formation,Hamersley_Group
558729.40042868,7493712.536538836,636.,71.57328687654355,-0.948728742851703,-0.3160913989450317,Brockman_Iron_Formation,Hamersley_Group
561731.869769855,7494022.5605349,707.,96.63138017629717,-0.993309666988078,0.11548119097079788,Brockman_Iron_Formation,Hamersley_Group
560481.310866785,7475177.0963696055,738.,158.1869305704299,0.3715796177540703,-0.9284010920231295,Marra_Mamba_Iron_Formation,Hamersley_Group
559856.84459489,7476914.83302106,685.,3.689315028546673,-0.06434620791158867,-0.9979276354162153,Marra_Mamba_Iron_Formation,Hamersley_Group
559705.78181074,7478573.56983927,662.,150.54834859436517,0.4916889420399544,-0.8707709137744728,Marra_Mamba_Iron_Formation,Hamersley_Group
557583.95551672,7481038.795435701,602.,136.5427721379071,0.6878128813560067,-0.7258880356093134,Marra_Mamba_Iron_Formation,Hamersley_Group
551457.8946824099,7485036.15730261,520.,114.30734510850172,0.9113505145170605,-0.4116311937760414,Marra_Mamba_Iron_Formation,Hamersley_Group
545580.91460071,7487115.45538028,564.,108.80795071567435,0.9466045314263858,-0.32239705501606614,Marra_Mamba_Iron_Formation,Hamersley_Group
527709.6008810325,7500944.653813737,541.,61.92410814402568,0.8823249739399045,0.47064067011037924,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
521458.6403813552,7500685.0913142655,574.,77.5641351112293,0.9765376711897582,0.21534664322269728,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
519145.0777654663,7499686.477494252,520.,52.14925018820085,0.7896118192604253,0.6136066939695503,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
517233.54054010776,7498279.50996512,550.,52.70449874828768,0.7955210593817061,0.6059259394350173,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
519931.834325765,7499583.206071265,517.,63.433635571743295,0.894416940380277,0.4472340961518744,Wittenoom_Formation,Hamersley_Group
