WKT	STATION_ID	DIP	STRIKE
"POINT (591449.6299709068 5618819.710038417)"	"07MBB229"	"55"	"153"
"POINT (591331.9299837374 5618786.14003989)"	"07MBB230"	"35"	"170"
"POINT (591094.0999735991 5618358.960015679)"	"07MBB231"	"38"	"147"
"POINT (598836.0000268177 5598272.000054268)"	"07MBB260"	"80"	"150"
"POINT (599265.7799885829 5598286.200034512)"	"07MBB261"	"47"	"145"
"POINT (599552.1100248371 5598229.509980977)"	"07MBB262"	"53"	"146"
"POINT (590846.9600185334 5618193.930026895)"	"07MBB232"	"30"	"340"
"POINT (590655.3200203591 5618044.710019018)"	"07MBB233"	"18"	"123"
"POINT (589266.8800123261 5616901.329955005)"	"07MBB234"	"10"	"355"
"POINT (591913.2899929093 5620488.840054977)"	"07MBB196"	"10"	"0"
"POINT (591677.3399885372 5620075.929955393)"	"07MBB197"	"48"	"342"
"POINT (591396.7600016838 5619749.200006819)"	"07MBB198"	"40"	"155"
"POINT (590016.6899652043 5618675.630017925)"	"07MBB200"	"35"	"165"
"POINT (589502.3600275863 5617815.919993414)"	"07MBB203"	"23"	"125"
"POINT (589230.0400344935 5617548.77997122)"	"07MBB205"	"8"	"70"
"POINT (588916.3700224413 5617261.850030952)"	"07MBB206"	"48"	"348"
"POINT (588916.3700224413 5617261.850030952)"	"07MBB206"	"25"	"345"
"POINT (588685.5200213888 5617121.859962951)"	"07MBB207"	"55"	"340"
"POINT (592966.9599966398 5620084.64001132)"	"07MBB219"	"86"	"330"
"POINT (599081.6957215689 5599888.660689806)"	"LDB27-MS"	"47"	"148"
"POINT (601082.2550309781 5599228.631263263)"	"LDK54"	"12"	"30"
"POINT (598811.8789123301 5599030.450851609)"	"LDK54-1"	"40"	"153"
"POINT (598713.4324954494 5598972.598248252)"	"LDK54-2"	"20"	"153"
"POINT (598620.3991893056 5598849.996999162)"	"LDK54-3"	"75"	"155"
"POINT (602987.1535234021 5609796.921353813)"	"LDK60"	"40"	"120"
"POINT (600874.8395727116 5609531.622347762)"	"LDK61-6"	"90"	"160"
"POINT (585912.2107100356 5621320.943263778)"	"LDR79-1"	"45"	"345"
"POINT (602912.3271239512 5602755.21508393)"	"LDR56"	"25"	"320"
"POINT (602933.5596838233 5602813.322505202)"	"LDR56-1"	"65"	"320"
"POINT (602972.107730907 5602898.375257347)"	"LDR56A"	"85"	"320"
"POINT (603436.7227826677 5603270.468965045)"	"LDR56A-1"	"55"	"145"
"POINT (603752.0359107478 5603275.780164531)"	"LDR56B"	"55"	"165"
"POINT (604062.7583069057 5603289.898550862)"	"LDR56B-1"	"30"	"325"
"POINT (604260.7346256701 5603404.290626145)"	"LDR56B-2"	"10"	"335"
"POINT (602735.5206294479 5601384.01176703)"	"LDR56C-1"	"50"	"330"
"POINT (602518.7329766287 5601331.495067954)"	"LDR56C-2"	"10"	"140"
"POINT (602463.622132731 5598532.101390395)"	"LDR57A"	"40"	"320"
"POINT (602303.3145711854 5598611.038475033)"	"LDR60A"	"40"	"330"
"POINT (605608.0266319686 5600363.898545795)"	"LDR61A-1"	"70"	"260"
"POINT (588780.8054969914 5621988.428823821)"	"LDR80B"	"0"	"0"
"POINT (597141.4431647448 5616497.131326827)"	"LDR83A"	"0"	"0"
"POINT (595686.0574309301 5617861.014790592)"	"LDR84B-1"	"65"	"160"
"POINT (595777.8020172137 5617912.838183019)"	"LDR84B-2"	"65"	"360"
"POINT (596119.4442839575 5618524.575954398)"	"LDR84D-2"	"40"	"160"
"POINT (596257.053031537 5618524.247454529)"	"LDR84D-4"	"15"	"155"
"POINT (594692.4685137925 5622540.13913283)"	"Sim81"	"17"	"108"
"POINT (594885.6147002573 5621312.470054946)"	"Sim82"	"17"	"133"
"POINT (595308.9489146192 5622111.513290993)"	"Sim83"	"20"	"153"
"POINT (595221.6361653217 5621915.72123363)"	"Sim84"	"20"	"178"
"POINT (595110.5110052187 5621762.262566814)"	"Sim85"	"15"	"154"
"POINT (596313.0445921434 5621614.095552955)"	"Sim86"	"13"	"165"
"POINT (596376.544835326 5621191.819776067)"	"Sim87"	"0"	"0"
"POINT (596323.6280290948 5620903.423298617)"	"Sim88"	"7"	"116"
"POINT (596413.586493135 5620739.381396569)"	"Sim89"	"7"	"205"
"POINT (596326.2738143855 5620620.318584326)"	"Sim90"	"6"	"102"
"POINT (599992.0832854109 5622243.540551093)"	"Sim91"	"18"	"348"
"POINT (600202.4274097512 5622452.826421694)"	"Sim92"	"14"	"350"
"POINT (600059.5521145262 5621783.429292441)"	"Sim93"	"4"	"95"
"POINT (600522.5739005867 5622283.492805005)"	"Sim94"	"1"	"140"
"POINT (600885.0537855522 5622098.28404137)"	"Sim95"	"7"	"330"
"POINT (600691.9075749667 5621685.533333431)"	"Sim96"	"6"	"315"
"POINT (601919.5766866631 5621537.366308099)"	"Sim97"	"7"	"0"
"POINT (602094.2021025214 5621767.554283893)"	"Sim98"	"20"	"76"
"POINT (603208.100066571 5623050.785845137)"	"Sim99"	"17"	"355"
"POINT (603247.7877337106 5622807.633387179)"	"Sim100"	"19"	"48"
"POINT (603223.9751247012 5622640.945622891)"	"Sim101"	"21"	"33"
"POINT (603645.9863815152 5621675.214454873)"	"Sim102"	"24"	"45"
"POINT (603656.5697016068 5621587.901832847)"	"Sim103"	"3"	"95"
"POINT (603677.7364270772 5621463.547346932)"	"Sim104"	"12"	"55"
"POINT (604954.3536245134 5621651.401875975)"	"Sim105"	"12"	"98"
"POINT (605314.1876101706 5621815.443954972)"	"Sim106"	"19"	"130"
"POINT (605303.6041747106 5621966.256663163)"	"Sim107"	"17"	"143"
