WKT	OBJECTID	FEATURE
"LINESTRING (593102.2811861209 5640446.425267209, 593154.5701185297 5640435.220536516, 593202.9451968113 5640424.854530754, 593250.6011969735 5640414.642503682, 593326.6505192382 5640402.550871537, 593411.9396151305 5640388.990211898, 593455.1274946717 5640388.619121594, 593647.5341950417 5640386.96523602, 593858.8266885603 5640398.441117829, 593972.9112082932 5640436.919360925, 594089.0208028022 5640457.846047541, 594129.0366835897 5640481.218097197)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (603541.2192899144 5635636.919371974, 603541.4493956348 5635636.619038286, 603566.9196054696 5635603.378270042, 603567.0509586583 5635603.198116821, 603567.0535638544 5635603.1944673, 603669.9091316826 5635462.182973272, 603669.9489059083 5635462.128345149, 603758.8614030459 5635336.676521312, 603791.2576985552 5635290.966648759, 603872.6841278875 5635172.981596417, 603950.7869712864 5635073.275677429, 604052.1546312382 5634956.952226125, 604178.4485478741 5634822.349461613, 604201.4260185495 5634790.092528078, 604264.8603029659 5634701.040671027, 604356.2573061204 5634518.246655311, 604378.7866789656 5634454.94974666, 604391.1542936377 5634420.202601906, 604450.9777828181 5634255.688009379, 604530.7425075744 5634087.849799146, 604632.1101289268 5633905.055798246, 604657.0364776389 5633853.541171027, 604657.9035880923 5633851.523626857, 604743.4482125567 5633652.467831361, 604876.3892993325 5633419.820891473, 605074.139177365 5633177.203417672, 605280.1979032843 5632924.615305238, 605443.0507377398 5632713.571281926, 605545.4780421328 5632579.894944888, 605551.7699490793 5632571.683409214, 605626.349916335 5632474.35037611)"	"FATIGUE THRUST"	"fault"
"LINESTRING (603122.7792496283 5636687.50258148, 603137.9170258633 5636616.306486025, 603148.5456217806 5636559.620539582, 603158.0207774399 5636487.326903686, 603167.9468295719 5636414.22462257, 603183.9057757409 5636353.290600545, 603183.9517713436 5636353.116546474, 603236.8472868805 5636152.862474948, 603236.9374468032 5636152.520833747, 603251.1844770554 5636098.583892787, 603255.4053833315 5636089.204112169)"	"FATIGUE THRUST"	"fault"
"LINESTRING (603255.4053833315 5636089.204112169, 603311.0079769455 5635965.642740006, 603362.5226164931 5635864.275186928, 603395.7579419026 5635814.422317194, 603468.8754873301 5635731.334157044, 603541.2192899144 5635636.919371974)"	"FATIGUE THRUST"	"fault"
"LINESTRING (590966.4893486025 5630153.508422258, 591020.0657058799 5630022.387308989, 591139.3769924443 5629700.909780017, 591255.3741203392 5629389.37457855, 591401.1991522564 5628975.099192759, 591537.0813677195 5628627.107812396, 591626.564939704 5628491.22555425, 591765.5810180601 5628187.329796956, 591769.0756401785 5628179.690514632, 591794.8816221064 5628143.644061965, 591977.8703751221 5627888.04075631, 592097.1816891524 5627765.415146046, 592339.1185084293 5627443.937489063, 592564.4843114594 5627168.858705434, 592783.2216654033 5626814.238963799, 592847.9528628334 5626677.04746777, 593005.2733140881 5626343.622126475, 593032.5121291276 5626258.501037065, 593111.3277629324 5626012.201931455, 593237.267502186 5625594.612294745)"	"MITCHELL FAULT"	"fault"
"LINESTRING (587460.8517827343 5634542.686587126, 587505.3909429628 5634499.095105968, 587754.5710785252 5634296.982256755, 587970.5272818457 5634094.869435207, 588152.6146714173 5633902.666089867)"	"MITCHELL FAULT"	"fault"
"LINESTRING (588152.6146714173 5633902.666089867, 588219.7075390863 5633831.8459593, 588407.9768734765 5633607.583720499, 588563.0223996646 5633433.157624889, 588767.9038435939 5633153.522066483, 588975.5540482246 5632890.49854051, 589112.9584006636 5632718.118480313, 589127.8307997284 5632699.460359036, 589305.0256241194 5632461.354939757, 589526.5191579269 5632203.868740588, 589698.1765954475 5632010.061878486, 589853.2220313505 5631835.635679666, 589997.1928098688 5631652.903575812, 590166.0815625211 5631478.47754559, 590282.3656626671 5631342.812638308, 590332.1602885828 5631295.262211911, 590513.9193212298 5631076.624691741, 590635.0918906234 5630860.62115229, 590635.9277595532 5630854.769835862, 590751.6153137197 5630655.40014716, 590894.125996016 5630330.608205376, 590966.4893486025 5630153.508422258)"	"MITCHELL FAULT"	"fault"
"LINESTRING (593545.4882930298 5624477.725990926, 593666.6746176628 5623904.547660929, 593668.1138963092 5623897.740401845, 593704.5701253422 5623685.63146927, 593726.9938848519 5623547.885202373, 593727.7695218 5623543.120667961, 593774.1683338169 5623102.331652425, 593778.7410869031 5623037.691062196)"	"MITCHELL FAULT"	"fault"
"LINESTRING (593221.6215909868 5625646.490989923, 593237.267502186 5625594.612294745, 593326.7510278588 5625236.678362112, 593459.3190351356 5624769.375828754, 593545.4882930298 5624477.725990926, 593550.4672549408 5624454.176514966)"	"MITCHELL FAULT"	"fault"
"LINESTRING (602949.9488065589 5629547.739340799, 602971.9278171876 5629455.276285794, 603011.824370786 5629362.184131131, 603050.156535712 5629299.601079594, 603109.6104383143 5629210.420340924, 603151.0715538297 5629138.449792866, 603273.1084811783 5628997.638107169, 603413.9203268484 5628831.793113762, 603462.4221126648 5628745.741412457, 603493.7168823178 5628693.424180848, 603564.9017519633 5628574.420464441, 603634.5475240515 5628470.573813896, 603652.5180424117 5628443.778367296, 603751.0863043733 5628306.095703474, 603795.152016597 5628216.352130603, 603815.2338738799 5628175.453649661, 603888.7688830467 5628014.30234589, 603953.6988522263 5627877.40206664, 604028.0161021858 5627716.250826102)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (602686.2443103911 5637313.20271788, 602846.307091879 5637131.313118687, 603006.369940326 5636968.825011747, 603009.4721658238 5636963.241046513, 603042.7477940809 5636903.344799058, 603088.8264952884 5636816.037806876, 603122.7792496283 5636687.50258148, 603120.4248522323 5636690.69249966)"	"FATIGUE THRUST"	"fault"
"LINESTRING (604249.9091851782 5627209.320485125, 604276.3261853643 5627145.33748347)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (604300.4140715385 5627086.995531791, 604276.3261853643 5627145.33748347)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (595652.5929116103 5640039.336706257, 595652.6686746454 5640039.196753732, 595671.21111517 5640004.936566358, 595824.3347493695 5639690.018004268, 595869.8186288178 5639596.474512105)"	"NUBLET THRUST"	"fault"
"LINESTRING (595146.3587974289 5640722.902184341, 595148.9381804507 5640721.617724792, 595150.9842223566 5640720.598980938, 595229.5059964139 5640681.498527842, 595320.4231550398 5640599.980215018, 595385.192366507 5640506.15262884, 595526.6417404722 5640272.051832033, 595652.1882949572 5640040.084210026, 595652.5929116103 5640039.336706257)"	"NUBLET THRUST"	"fault"
"LINESTRING (594954.3489356067 5640881.378925153, 594955.3428866235 5640880.160591181, 594968.5564395246 5640863.964689394, 595049.4612488392 5640786.332481745, 595117.1113195287 5640737.466049993, 595146.3587974289 5640722.902184341)"	"NUBLET THRUST"	"fault"
"LINESTRING (594450.1063266204 5640616.519411947, 594469.8707876572 5640618.58888473, 594527.1321695774 5640624.584880246, 594641.2166091782 5640651.587000707, 594641.5931540622 5640651.584365322)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (594641.5931540622 5640651.584365322, 594657.9229633558 5640651.467692021, 594735.7244856571 5640650.912181861, 594757.3226481705 5640646.811116119, 594789.0538919134 5640640.786215249, 594912.2971662621 5640584.923635082, 594919.7951518066 5640581.524975401)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (604309.4415018018 5627065.130694903, 604451.1811013309 5627022.88507643, 604509.3129113859 5627011.272829955, 604553.8699338797 5626999.003631802, 604608.1133346101 5626982.214033523, 604653.3160180748 5626956.383783032, 604704.9763373423 5626913.118276142, 604754.6993595515 5626839.502412888, 604786.9730374303 5626780.727313028, 604845.3277371364 5626655.500419315, 604910.0866956698 5626566.717903466, 605019.280275388 5626417.017052027, 605167.9816898857 5626265.509916907, 605386.8251782409 5626105.585782676, 605454.1617033831 5626029.832233247, 605552.3607908799 5625839.045447983, 605667.3939264121 5625575.310971481, 605740.3417986105 5625376.107246855, 605745.953220826 5625272.296802682, 605734.730419043 5625190.931846045, 605633.7257048459 5624969.282612986, 605507.4697534122 5624694.325315858, 605434.5218827806 5624455.841862726, 605386.8251894388 5624192.107271349, 605367.1853783017 5624015.34891309, 605375.6024896014 5623970.457963697, 605392.4366153084 5623942.401273598, 605406.4650984688 5623925.566916895, 605428.9105627249 5623928.372766466, 605465.3844990652 5623948.012474081, 605518.6924712466 5623992.903473351, 605653.3654615071 5624110.742443403, 605793.5596508727 5624234.077042392)"	"SIMPSON PASS THRUST"	"fault"
"LINESTRING (615110.9672906545 5614316.402196086, 615110.6799896961 5614291.859984087, 615121.1300128114 5614251.609951395, 615150.7900203939 5614140.429980513, 615162.0699850622 5614048.640032907, 615168.5299874452 5613961.469961268, 615172.7200118732 5613869.540036849, 615174.7000629201 5613847.910308829)"	"FYNN THRUST"	"fault"
