X,Y,l,m,n,dip,dip_dir
587473.0,5640018.0,-0.5498902973050033,-0.18196657775569314,0.815174107482381,35.39541912039428,251.6898805274668
587473.0,5640518.0,-0.5203786339019718,-0.17127359769235367,0.8365831889966683,33.218947667459275,251.78193685420513
587473.0,5641018.0,-0.484779746137934,-0.16382775913429948,0.8591560178870158,30.77804770579148,251.3276950495947
587473.0,5641518.0,-0.4470373254921866,-0.1608745821991084,0.8799301099627487,28.36606621911703,250.20780178649193
587473.0,5642018.0,-0.41267396733625256,-0.16392989645253492,0.8960062420162141,26.36202766748506,248.3351297446544
587473.0,5642518.0,-0.38726616218631454,-0.17437583667852088,0.905327557963497,25.132564199219104,245.75920649328452
587473.0,5643018.0,-0.37433677600336857,-0.19239635990644968,0.907113895178633,24.890488704609112,242.79837890008343
587473.0,5643518.0,-0.3739610211054555,-0.21626033910617026,0.9018783844972943,25.593918414974397,239.95935659587292
587473.0,5644018.0,-0.38327888941802324,-0.24287968138530006,0.8911266763466694,26.984832280667945,237.63800756829676
587973.0,5634018.0,-0.5299836945343696,-0.25442715862267046,0.8089401118024093,36.00749363899141,244.35592029114946
587973.0,5634518.0,-0.5248306267849785,-0.26123631919413837,0.8101286309731219,35.89149908607447,243.53800999289388
587973.0,5635018.0,-0.5236175175606901,-0.2635197468415738,0.8101740790275468,35.88705710469461,243.28536756892163
587973.0,5635518.0,-0.5252179761266299,-0.26256750412965013,0.8094469614054852,35.958066806635934,243.43856930739503
587973.0,5636018.0,-0.5285785560434192,-0.2592720118205524,0.8083209350113216,36.06779486925008,243.87167968126585
587973.0,5636518.0,-0.5326785810503339,-0.25415307502162554,0.8072544479575537,36.17145560888347,244.49312830375504
587973.0,5637018.0,-0.5364987747783087,-0.24745627784761792,0.8068050912179322,36.2150555748257,245.23881919044823
587973.0,5637518.0,-0.5389713611045185,-0.23926223708296784,0.807628289385158,36.135148095785624,246.06242404818215
587973.0,5638018.0,-0.5389186481188126,-0.22959698499247194,0.8104640122745477,35.85870852804901,246.92440801252144
587973.0,5638518.0,-0.5350099470983761,-0.21855635898287154,0.8160866831740015,35.30504721114639,247.779545039381
587973.0,5639018.0,-0.5257937059032323,-0.20644871374529,0.8251787124165653,34.39338579089095,248.56294109454575
587973.0,5639518.0,-0.5098876316958277,-0.1939127021261522,0.8381005112740084,33.05992146453856,249.17795149431436
587973.0,5640018.0,-0.4863935555278117,-0.18191143253877862,0.8545932013845551,31.285177554077194,249.4941781153576
587973.0,5640518.0,-0.4555072090617345,-0.17157911680960605,0.8735409487640662,29.127235082571758,249.3597592715853
587973.0,5641018.0,-0.4191577134935416,-0.16414174749312102,0.892952573179993,26.75335663270988,248.61473790356274
587973.0,5641518.0,-0.3813932739747874,-0.16112630265353226,0.9102623166758004,24.458373049007733,247.0975172183654
587973.0,5642018.0,-0.3480722701881553,-0.16453150475526743,0.9229166152307754,22.643733920197647,244.70020230226487
