WKT	OBJECTID	dip	strike
"POINT (327473.2641000003 7589374.3915)"	"146"	"10.0"	"225.0"
"POINT (327342.7993000001 7588948.8836)"	"147"	"10.0"	"247.0"
"POINT (326071.2933 7592498.9993)"	"148"	"12.0"	"227.0"
"POINT (326116.1545000002 7593956.5314)"	"149"	"57.0"	"199.0"
"POINT (327103.5015000002 7593607.0129)"	"150"	"35.0"	"195.0"
"POINT (327633.5651000002 7593504.0043)"	"151"	"50.0"	"301.0"
"POINT (327709.3447000002 7593661.008)"	"152"	"38.0"	"296.0"
"POINT (328338.1003 7593143.9851)"	"153"	"20.0"	"302.0"
"POINT (328496.074 7592701.4689)"	"154"	"15.0"	"292.0"
"POINT (329315.3266000003 7592512.4504)"	"155"	"30.0"	"309.0"
"POINT (329553.8364000004 7591717.9181)"	"156"	"15.0"	"287.0"
"POINT (329377.6874000002 7585744.797)"	"157"	"15.0"	"243.0"
"POINT (329116.8123000003 7586585.3073)"	"158"	"18.0"	"208.0"
"POINT (331840.1289999997 7583157.7636)"	"159"	"15.0"	"240.0"
"POINT (331833.7866000002 7582944.2623)"	"160"	"20.0"	"199.0"
"POINT (326025.8309000004 7567211.2115)"	"161"	"40.0"	"324.0"
"POINT (326534.7044000002 7567783.2133)"	"162"	"15.0"	"287.0"
"POINT (326179.2632999998 7569527.7349)"	"163"	"40.0"	"347.0"
"POINT (326691.6067000004 7569770.231)"	"164"	"15.0"	"183.0"
"POINT (333543.7177999998 7568284.6711)"	"165"	"15.0"	"355.0"
"POINT (333304.0925000003 7570624.1772)"	"166"	"70.0"	"334.0"
"POINT (341721.0318 7590917.2316)"	"167"	"18.0"	"354.0"
"POINT (342297.0853000004 7589167.2053)"	"168"	"55.0"	"329.0"
"POINT (342283.2890999997 7585273.6888)"	"169"	"22.0"	"355.0"
"POINT (342463.7900999999 7582626.1733)"	"170"	"42.0"	"324.0"
"POINT (343648.7653000001 7575509.6202)"	"171"	"55.0"	"340.0"
"POINT (343355.4518999998 7575554.1228)"	"172"	"70.0"	"358.0"
"POINT (343299.6425999999 7574454.6185)"	"173"	"42.0"	"328.0"
